reject,n,power
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
True,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
True,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
True,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
True,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
True,100,-0.4
True,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
True,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
True,100,-0.4
True,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
True,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
True,100,-0.4
True,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
True,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
True,100,-0.4
True,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
True,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
True,100,-0.4
True,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
True,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
True,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
True,562,-0.5
True,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
True,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
True,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
True,1333,-0.5
False,3162,-0.5
True,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
True,100,-0.6
True,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
True,1333,-0.2
True,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
False,3162,-0.3
False,7498,-0.3
False,17782,-0.3
False,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
True,3162,-0.4
True,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
True,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
False,100000,-0.6
False,100,-0.7
False,237,-0.7
False,562,-0.7
False,1333,-0.7
False,3162,-0.7
False,7498,-0.7
False,17782,-0.7
False,42169,-0.7
False,100000,-0.7
False,100,-0.2
False,237,-0.2
False,562,-0.2
False,1333,-0.2
False,3162,-0.2
False,7498,-0.2
False,17782,-0.2
False,42169,-0.2
False,100000,-0.2
False,100,-0.3
False,237,-0.3
False,562,-0.3
False,1333,-0.3
True,3162,-0.3
False,7498,-0.3
True,17782,-0.3
True,42169,-0.3
False,100000,-0.3
False,100,-0.4
False,237,-0.4
False,562,-0.4
False,1333,-0.4
False,3162,-0.4
False,7498,-0.4
False,17782,-0.4
False,42169,-0.4
False,100000,-0.4
False,100,-0.5
False,237,-0.5
False,562,-0.5
False,1333,-0.5
False,3162,-0.5
False,7498,-0.5
False,17782,-0.5
False,42169,-0.5
False,100000,-0.5
False,100,-0.6
False,237,-0.6
False,562,-0.6
False,1333,-0.6
False,3162,-0.6
False,7498,-0.6
False,17782,-0.6
False,42169,-0.6
